id,comments,created_at,description,descriptors,is_deprecated,label,name,properties,provider,type,updated_at,url,version,user_id,release_date
model_e0462665-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's fastest and most compact model.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 4096, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 4096}}",0,Claude Haiku 3.5,claude-3-5-haiku-20241022,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 4096}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2024-10-22 00:00:00
model_e04883df-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's most balanced model between intelligence and speed.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 8192, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 8192}}",0,Claude Sonnet 3.5,claude-3-5-sonnet-20240620,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 8192}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2024-06-20 00:00:00
model_e04a53a4-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's most balanced model between intelligence and speed.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 4096, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 4096}}",0,Claude Sonnet 3.5,claude-3-5-sonnet-20241022,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 4096}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2024-10-22 00:00:00
model_e04c1821-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's most balanced model between intelligence and speed.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 64000, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 64000}}",0,Claude Sonnet 3.7,claude-3-7-sonnet-20250219,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 64000}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2025-02-19 00:00:00
model_e04dea06-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's fastest and most compact model.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 4096, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 4096}}",0,Claude Haiku 3,claude-3-haiku-20240307,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 4096}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2024-03-07 00:00:00
model_e04fc2f3-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's most powerful model for complex reasoning and analysis.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 4096, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 4096}}",0,Claude Opus 3,claude-3-opus-20240229,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 4096}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2024-02-29 00:00:00
model_e0517ac2-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's most balanced model between intelligence and speed.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 4096, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 4096}}",0,Claude Sonnet 3,claude-3-sonnet-20240229,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 4096}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2024-02-29 00:00:00
model_e0532205-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's most powerful model for complex reasoning and analysis.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 32000, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 32000}}",0,Claude Opus 4,claude-opus-4-20250514,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 32000}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2025-05-14 00:00:00
model_e054f733-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,Anthropic's balanced model between intelligence and speed.,"{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""Seed for the model."", ""defaultValue"": null}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Top P for the model."", ""defaultValue"": 1.0}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 1.0, ""minValue"": 0.0, ""description"": ""Temperature for the model."", ""defaultValue"": null}, ""stop_sequences"": {""key"": ""stop_sequences"", ""type"": ""STRING_ARRAY"", ""label"": ""Stop Sequences"", ""maxValue"": null, ""minValue"": null, ""description"": ""Stop Sequences for the model."", ""defaultValue"": null}, ""max_output_tokens"": {""key"": ""max_output_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 64000, ""minValue"": 1, ""description"": ""Max Output Tokens for the model."", ""defaultValue"": 64000}}",0,Claude Sonnet 4,claude-sonnet-4-20250514,"{""seed"": null, ""top_p"": 1.0, ""temperature"": null, ""stop_sequences"": [], ""max_output_tokens"": 64000}",ANTHROPIC,SYSTEM,2025-10-21 06:19:18,https://api.anthropic.com/v1/messages,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2025-05-14 00:00:00
model_e05c4290-ae45-11f0-93fc-0242ac110002,,2025-10-21 06:19:18,"Gemini 2.0 Flash is a fast, efficient model that excels across diverse tasks, released in January of 2025.","{""seed"": {""key"": ""seed"", ""type"": ""INTEGER"", ""label"": ""Seed"", ""maxValue"": 2147483647, ""minValue"": -2147483648, ""description"": ""The seed for the model."", ""defaultValue"": null}, ""top_k"": {""key"": ""top_k"", ""type"": ""INTEGER"", ""label"": ""Top K"", ""maxValue"": 100, ""minValue"": 1, ""description"": ""The top K for the model."", ""defaultValue"": 1}, ""top_p"": {""key"": ""top_p"", ""type"": ""DOUBLE"", ""label"": ""Top P"", ""maxValue"": 1, ""minValue"": 0, ""description"": ""The top P for the model."", ""defaultValue"": 0.95}, ""log_probs"": {""key"": ""log_probs"", ""type"": ""INTEGER"", ""label"": ""Log Probs"", ""maxValue"": 5, ""minValue"": 1, ""description"": ""This sets the number of top logprobs to return at each decoding step."", ""defaultValue"": null}, ""max_tokens"": {""key"": ""max_tokens"", ""type"": ""INTEGER"", ""label"": ""Max Output Tokens"", ""maxValue"": 65535, ""minValue"": 1, ""description"": ""The max output tokens for the model."", ""defaultValue"": 65535}, ""temperature"": {""key"": ""temperature"", ""type"": ""DOUBLE"", ""label"": ""Temperature"", ""maxValue"": 2, ""minValue"": 0, ""description"": ""The temperature for the model."", ""defaultValue"": 1}, ""presence_penalty"": {""key"": ""presence_penalty"", ""type"": ""DOUBLE"", ""label"": ""Presence Penalty"", ""maxValue"": null, ""minValue"": null, ""description"": ""The presence penalty for the model."", ""defaultValue"": 0}, ""frequency_penalty"": {""key"": ""frequency_penalty"", ""type"": ""DOUBLE"", ""label"": ""Frequency Penalty"", ""maxValue"": null, ""minValue"": null, ""description"": ""The frequency penalty for the model."", ""defaultValue"": 0}, ""response_log_probs"": {""key"": ""response_log_probs"", ""type"": ""BOOLEAN"", ""label"": ""Response Log Probs"", ""maxValue"": null, ""minValue"": null, ""description"": ""Optional. If true, export the logprobs results in response."", ""defaultValue"": null}}",1,Gemini 2.0 Flash 001,gemini-2.0-flash-001,"{""top_p"": 0.95, ""max_tokens"": 8192, ""temperature"": 1.0}",GOOGLE,SYSTEM,2025-10-21 06:19:18,https://generativelanguage.googleapis.com/v1beta/models/gemini-2.0-flash-001:generateContent,,user-e040fe2f-ae45-11f0-93fc-0242ac110002,2025-01-01 00:00:00
